GrandPrix,Driver,LapNumber,Compound,TyreLife,TrackTemp,LapTime_Seconds
Bahrain,HAM,30.0,HARD,18.0,23.652866242038222,97.244
Bahrain,HAM,31.0,HARD,19.0,23.652866242038222,96.975
Bahrain,HAM,32.0,HARD,20.0,23.652866242038222,97.325
Bahrain,HAM,33.0,HARD,21.0,23.652866242038222,99.696
Bahrain,HAM,34.0,HARD,1.0,23.652866242038222,114.974
Bahrain,HAM,35.0,HARD,2.0,23.652866242038222,95.489
Bahrain,HAM,36.0,HARD,3.0,23.652866242038222,95.279
Bahrain,HAM,37.0,HARD,4.0,23.652866242038222,95.597
Bahrain,HAM,38.0,HARD,5.0,23.652866242038222,94.966
Bahrain,HAM,39.0,HARD,6.0,23.652866242038222,94.722
Bahrain,HAM,40.0,HARD,7.0,23.652866242038222,95.041
Bahrain,HAM,41.0,HARD,8.0,23.652866242038222,94.94
Bahrain,HAM,42.0,HARD,9.0,23.652866242038222,94.996
Bahrain,HAM,43.0,HARD,10.0,23.652866242038222,94.935
Bahrain,HAM,44.0,HARD,11.0,23.652866242038222,95.169
Bahrain,HAM,45.0,HARD,12.0,23.652866242038222,95.184
Bahrain,HAM,46.0,HARD,13.0,23.652866242038222,95.285
Bahrain,HAM,47.0,HARD,14.0,23.652866242038222,95.226
Bahrain,HAM,48.0,HARD,15.0,23.652866242038222,96.165
Bahrain,HAM,49.0,HARD,16.0,23.652866242038222,95.914
Bahrain,HAM,50.0,HARD,17.0,23.652866242038222,95.612
Bahrain,HAM,51.0,HARD,18.0,23.652866242038222,95.532
Bahrain,HAM,52.0,HARD,19.0,23.652866242038222,95.479
Bahrain,HAM,53.0,HARD,20.0,23.652866242038222,95.55
Bahrain,HAM,54.0,HARD,21.0,23.652866242038222,95.974
Bahrain,HAM,55.0,HARD,22.0,23.652866242038222,95.633
Bahrain,HAM,56.0,HARD,23.0,23.652866242038222,95.706
Bahrain,HAM,57.0,HARD,24.0,23.652866242038222,96.138
Bahrain,PIA,2.0,SOFT,5.0,23.652866242038222,98.382
Bahrain,PIA,3.0,SOFT,6.0,23.652866242038222,98.258
Bahrain,PIA,4.0,SOFT,7.0,23.652866242038222,97.897
Bahrain,PIA,5.0,SOFT,8.0,23.652866242038222,97.859
Bahrain,PIA,6.0,SOFT,9.0,23.652866242038222,97.955
Bahrain,PIA,7.0,SOFT,10.0,23.652866242038222,97.984
Bahrain,PIA,8.0,SOFT,11.0,23.652866242038222,97.956
Bahrain,PIA,9.0,SOFT,12.0,23.652866242038222,98.096
Bahrain,PIA,11.0,SOFT,14.0,23.652866242038222,98.397
Bahrain,PIA,12.0,SOFT,15.0,23.652866242038222,100.739
Bahrain,PIA,13.0,HARD,1.0,23.652866242038222,118.689
Bahrain,PIA,14.0,HARD,2.0,23.652866242038222,96.796
Bahrain,PIA,15.0,HARD,3.0,23.652866242038222,96.823
Bahrain,PIA,16.0,HARD,4.0,23.652866242038222,96.427
Bahrain,PIA,17.0,HARD,5.0,23.652866242038222,96.872
Bahrain,PIA,18.0,HARD,6.0,23.652866242038222,97.095
Bahrain,PIA,19.0,HARD,7.0,23.652866242038222,96.577
Bahrain,PIA,20.0,HARD,8.0,23.652866242038222,96.644
Bahrain,PIA,21.0,HARD,9.0,23.652866242038222,96.733
